Peer_IP,Validated_Time
107.191.35.66,1590758716.870
178.63.71.183,1590758736.055
94.156.174.100,1590758921.053
18.222.216.71,1590758980.653
138.201.245.237,1590759028.825
3.91.227.122,1590759151.480
3.10.116.190,1590759373.780
52.194.192.91,1590759423.729
50.67.175.2,1590759589.542
163.172.222.30,1590759595.817
47.100.175.51,1590759657.495
35.173.127.89,1590759853.240
13.127.252.139,1590759902.863
138.201.245.237,1590759993.807
178.63.71.183,1590760004.018
24.5.47.53,1590760104.809
47.100.175.51,1590760455.548
107.191.35.66,1590760530.419
163.172.222.30,1590760901.014
46.4.65.10,1590761132.157
47.100.175.51,1590761269.049
94.156.174.100,1590761370.005
159.65.218.179,1590761442.203
167.99.86.56,1590761473.854
194.135.81.61,1590762086.031
163.172.222.30,1590762619.494
104.248.161.166,1590762832.005
173.249.28.21,1590762959.920
178.63.71.183,1590763021.082
167.99.86.56,1590763267.939
118.24.175.14,1590763890.684
188.165.192.153,1590763924.340
192.241.131.177,1590764026.258
163.172.222.30,1590764058.405
167.99.86.56,1590764109.641
178.63.71.183,1590764328.994
13.244.102.241,1590764757.942
3.22.172.166,1590764969.066
138.201.245.237,1590765124.802
157.245.181.172,1590765196.082
118.24.175.14,1590765225.541
163.172.222.30,1590765615.062
138.201.245.237,1590765942.387
24.5.47.53,1590766011.182
35.173.127.89,1590766115.519
3.91.227.122,1590766499.710
138.201.245.237,1590766614.427
188.72.203.159,1590766674.491
24.5.47.53,1590766723.014
159.65.218.179,1590766781.612
167.99.86.56,1590766861.259
47.100.175.51,1590767522.889
188.72.203.159,1590767754.118
50.67.175.2,1590768002.017
188.72.203.154,1590768097.111
159.65.218.179,1590768941.339
13.127.252.139,1590769064.184
178.63.71.183,1590769156.048
18.191.160.176,1590769359.708
54.36.124.100,1590769956.229
46.4.65.10,1590770599.829
35.173.127.89,1590770955.642
167.99.86.56,1590771109.143
13.244.102.241,1590771309.108
142.4.209.60,1590771311.198
45.15.9.99,1590771829.029
118.24.175.14,1590772395.071
192.71.249.205,1590772426.072
195.177.251.17,1590772932.908
13.244.102.241,1590773241.343
188.72.203.154,1590773305.944
118.24.175.14,1590773612.364
208.68.38.242,1590774418.633
138.201.245.237,1590774543.043
