Peer_IP,Validated_Time
213.183.54.81,1590768094.941
3.92.199.184,1590768130.547
3.19.66.87,1590768678.553
188.72.203.159,1590768885.757
167.99.86.56,1590769005.807
178.63.71.183,1590769189.246
3.92.199.184,1590769669.282
24.5.47.53,1590770211.470
18.188.77.116,1590770289.757
34.222.139.192,1590770540.687
134.122.96.128,1590771534.760
163.172.222.30,1590772157.009
159.65.218.179,1590772181.945
13.127.252.139,1590772896.971
142.4.209.60,1590773177.016
180.97.220.27,1590773912.035
167.99.86.56,1590774229.262
188.165.43.210,1590776716.783
208.68.38.242,1590776917.996
178.63.71.183,1590777257.026
176.74.154.45,1590777465.569
18.220.47.120,1590777692.377
24.5.47.53,1590777847.280
188.72.203.154,1590778148.402
188.72.203.159,1590778331.823
163.172.222.30,1590778480.621
18.222.216.71,1590779087.675
188.72.203.159,1590779555.842
195.177.251.17,1590780434.330
45.15.9.99,1590780793.065
24.5.47.53,1590781068.757
176.74.154.45,1590781494.809
188.72.203.159,1590783203.974
3.10.116.190,1590783628.658
188.72.203.159,1590784001.397
45.76.39.141,1590784213.475
213.133.102.169,1590784369.728
3.22.172.166,1590784729.834
167.99.86.56,1590785907.125
178.63.71.183,1590786234.092
61.160.196.169,1590787369.478
188.72.203.159,1590787510.158
34.222.139.192,1590787559.015
80.66.158.115,1590787642.381
188.72.203.159,1590788969.148
88.90.193.26,1590789940.015
178.73.210.248,1590790036.912
34.67.71.42,1590790066.089
24.5.47.53,1590790312.563
34.67.71.42,1590790661.339
167.99.86.56,1590791402.692
34.67.71.42,1590791958.095
159.65.218.179,1590792161.053
159.69.57.170,1590792445.619
188.72.203.159,1590792476.501
3.10.116.190,1590793197.894
167.99.86.56,1590793340.161
34.67.71.42,1590793783.858
195.177.251.17,1590794354.569
178.63.71.183,1590794512.021
66.70.180.144,1590795024.174
188.165.43.210,1590796320.519
24.5.47.53,1590798019.817
188.72.203.159,1590798771.412
134.122.96.128,1590799249.258
167.172.43.123,1590799481.314
118.24.175.14,1590799693.336
188.72.203.159,1590799835.859
13.127.252.139,1590800235.225
107.191.35.66,1590801507.651
50.228.184.13,1590801997.040
