block_hash,Height,Hash,First_Time,Prop_Time,Obs_Witness_Count,Peers_Report_Count,Sorted_Timestamps
94,852079.0,,1591058383.635,3.5820000171661377,4,32,
95,852080.0,,1591058409.036,0.8479998111724854,4,32,
96,852081.0,,1591058457.715,1.0970001220703125,4,32,
97,852082.0,,1591058550.44,0.5820000171661377,4,32,
98,852083.0,,1591058644.708,3.5160000324249268,4,32,
99,852084.0,,1591058856.276,1.553999900817871,4,32,
100,852085.0,,1591058919.8379998,0.5610001087188721,4,32,
101,852086.0,,1591058942.154,6.173999786376953,4,32,
102,852087.0,,1591059018.189,1.0470001697540283,4,32,
103,852088.0,,1591059149.059,2.623999834060669,4,32,
104,852089.0,,1591059208.97,0.7870001792907715,4,32,
105,852090.0,,1591059373.436,4.950999975204468,4,32,
106,852091.0,,1591059386.208,4.486000061035156,4,32,
107,852092.0,,1591059478.685,0.6189999580383301,4,32,
108,852093.0,,1591059551.8470001,3.876999855041504,4,32,
109,852094.0,,1591059656.3070002,4.30299973487854,4,33,
110,852095.0,,1591059673.434,4.3450000286102295,4,33,
111,852096.0,,1591059698.492,3.2269997596740723,4,33,
112,852097.0,,1591059752.806,23.05900001525879,4,33,
113,852098.0,,1591059794.7229998,3.067000150680542,4,33,
114,852099.0,,1591059859.805,1.7569999694824219,4,33,
115,852100.0,,1591059975.6079998,0.5470001697540283,4,33,
116,852101.0,,1591060040.0370002,3.005999803543091,4,33,
117,852102.0,,1591060188.621,1.6099998950958252,4,33,
118,852103.0,,1591060278.543,4.212000131607056,4,33,
119,852104.0,,1591060341.4689999,0.9960000514984131,4,33,
120,852105.0,,1591060386.8820002,0.9119997024536133,4,33,
121,852106.0,,1591060412.853,1.759000301361084,4,33,
122,852107.0,,1591060810.4020002,2.2639999389648438,4,33,
123,852108.0,,1591060844.474,0.6630001068115234,4,33,
124,852109.0,,1591061123.186,1.6399998664855957,4,33,
125,852110.0,,1591061246.467,1.4830000400543213,4,33,
126,852111.0,,1591061486.58,4.638999938964844,4,33,
127,852112.0,,1591061594.0470002,32.4449999332428,4,33,
128,852113.0,,1591061723.611,1.5290000438690186,4,33,
129,852114.0,,1591061773.724,4.077000141143799,4,33,
130,852125.0,,1591062721.833,1.252000093460083,4,33,
131,852126.0,,1591062748.6729999,0.8480002880096436,4,33,
132,852127.0,,1591062765.3470001,0.4479999542236328,4,33,
133,852128.0,,1591062809.839,1.9739999771118164,4,33,
134,852129.0,,1591062860.8660002,1.3559999465942383,4,33,
135,852130.0,,1591062868.9910002,0.5169997215270996,4,33,
136,852131.0,,1591062931.467,0.7700002193450928,4,33,
137,852132.0,,1591062935.0,5.13100004196167,4,33,
138,852133.0,,1591062973.829,4.891999959945679,4,33,
139,852134.0,,1591063112.3679998,1.5840003490447998,4,33,
140,852135.0,,1591063198.346,45.36800003051758,4,33,
141,852136.0,,1591063225.4529998,18.26200008392334,4,33,
142,852137.0,,1591063264.311,6.3919997215271,4,33,
143,852138.0,,1591063286.6529999,0.6050000190734863,4,33,
144,852139.0,,1591063327.264,1.1620001792907715,4,33,
145,852140.0,,1591063552.735,2.326000213623047,4,33,
146,852141.0,,1591063653.164,2.2180001735687256,4,33,
147,852142.0,,1591063730.092,0.7300000190734863,4,33,
148,852143.0,,1591063848.059,1.2599999904632568,4,33,
149,852144.0,,1591064031.312,4.49399995803833,4,33,
150,852145.0,,1591064039.1829998,1.0910000801086426,4,33,
151,852146.0,,1591064062.159,56.3289999961853,4,33,
