block_hash,mumbai_min,mumbai_max,mumbai_prop_time,virginia_min,virginia_max,virginia_prop_time,london_min,london_max,london_prop_time,africa_min,africa_max,africa_prop_time,Height,global_min,global_max,global_prop_time
000000000152d63d53347bbbc6f21331f93340bb08c925ffbff9e6358b944c72,1590697072.48,1590697831.96,759.4800000190735,1590697072.387,1590697076.3479998,3.9609997272491455,1590697072.393,1590697076.895,4.502000093460083,1590697072.279,1590697076.405,4.125999927520752,847282.0,1590697072.279,1590697831.96,759.680999994278
00000000007fe17fadca8304a16bb668f38da57f4a7857a145643a456f5501ad,1590697074.7610002,1590697831.992,757.2309999465942,1590697074.7129998,1590697076.349,1.636000156402588,1590697074.696,1590697080.2389998,5.542999744415283,1590697074.845,1590697080.309,5.46399998664856,847283.0,1590697074.696,1590697831.992,757.2960000038147
00000000018c8d046cd0442f0fc6893dab51bb0c436fa8693705362bd368495e,1590697144.6160002,1590697832.285,687.6689999103546,1590697144.5270002,1590697146.329,1.801999807357788,1590697144.51,1590697145.779,1.2690000534057617,1590697144.725,1590697145.301,0.5760002136230469,847284.0,1590697144.51,1590697832.285,687.7750000953674
00000000013adbb3eea273e7e977a70b2bef2866e58e811ff3fd7694cdb1963b,1590697161.065,1590697832.3279998,671.2629997730255,1590697161.06,1590697161.7270002,0.6670002937316895,1590697161.082,1590697161.7470002,0.6650002002716064,1590697161.133,1590697161.6520002,0.5190002918243408,847285.0,1590697161.06,1590697832.3279998,671.2679998874664
000000000241ac7d5eb46ed7019f02837caf16719549b0e97c5f0ad550bf097a,1590697203.4589999,1590697832.351,628.8920001983643,1590697203.429,1590697205.735,2.305999994277954,1590697203.4970002,1590697205.6929998,2.1959996223449707,1590697203.57,1590697217.539,13.969000101089478,847286.0,1590697203.429,1590697832.351,628.922000169754
000000000077c70434da5b72dff1ebde7fcf37d34c265c791d41d6cdf8e8e004,1590697253.3270001,1590697832.41,579.0829999446869,1590697253.2429998,1590697254.82,1.5770001411437988,1590697253.274,1590697259.995,6.7209999561309814,1590697253.34,1590697254.0229998,0.682999849319458,847287.0,1590697253.2429998,1590697832.41,579.1670002937317
00000000013a7eaf9ea6adc31e21610ba4bd04d0422715e0b71af0eb1e23c1ed,1590697321.5779998,1590697832.519,510.9410002231598,1590697321.6260002,1590697323.9929998,2.366999626159668,1590697321.621,1590697324.024,2.4029998779296875,1590697321.697,1590697325.198,3.500999927520752,847288.0,1590697321.5779998,1590697832.519,510.9410002231598
000000000135a9a5b3c0ce8c626ddca4ce2122676488826f6478898ab514bb78,1590697386.52,1590697832.555,446.0350000858307,1590697381.9770002,1590697393.697,11.71999979019165,1590697386.482,1590697393.705,7.222999811172485,1590697386.476,1590697394.4720001,7.996000051498413,847289.0,1590697381.9770002,1590697832.555,450.577999830246
0000000001d266182a64560a762935c3b0a4998f2aa21b35b165c1c20a43b273,1590697426.405,1590697832.5670002,406.16200017929077,1590697426.3339999,1590697430.13,3.7960002422332764,1590697426.3170002,1590697427.596,1.2789998054504395,1590697426.4910002,1590697428.762,2.2709999084472656,847290.0,1590697426.3170002,1590697832.5670002,406.25
0000000000ef221a5bbb6ad69e1a006c038477a4c02e4470691318b9362c5999,1590697516.3479998,1590697833.0110002,316.6630003452301,1590697516.254,1590697518.0010002,1.7470002174377441,1590697516.2970002,1590697517.554,1.2569997310638428,1590697516.3170002,1590697516.8070002,0.49000000953674316,847291.0,1590697516.254,1590697833.0110002,316.757000207901
