Peer_IP,Version,User_Agent,Start_Height,Services,Peer_Time,Validated_Time
18.188.77.116,170009,/MagicBean:2.1.1-1/,847370,5,1590703142,1590703142.593
47.100.175.51,170009,/MagicBean:2.1.1-1/,847371,5,1590703235,1590703235.323
159.89.147.156,170009,/MagicBean:2.1.1-1/,847373,5,1590703414,1590703414.176
80.84.57.38,170009,/MagicBean:2.1.1-1/,847377,5,1590703705,1590703705.342
94.130.239.15,170010,/MagicBean:2.1.2/,847377,5,1590703731,1590703732.027
149.28.197.86,170009,/MagicBean:2.1.1-1/,847377,5,1590703785,1590703785.820
213.239.201.46,170009,/MagicBean:2.1.1-1/,847379,5,1590704005,1590704005.501
62.210.91.14,170010,/zqwMagicBean:2.1.2/,847381,5,1590704222,1590704222.731
47.106.224.223,170010,/MagicBean:2.1.2/,847381,5,1590704236,1590704236.812
195.154.199.185,170010,/MagicBean:2.1.2/,847387,5,1590704901,1590704901.940
46.165.230.156,170010,/MagicBean:2.1.2-3/,847395,5,1590705757,1590705757.669
3.112.252.179,170009,/MagicBean:2.1.1-1/,847395,5,1590705844,1590705844.677
149.56.135.165,170010,/MagicBean:2.1.2/,847401,5,1590706567,1590706567.492
162.217.231.179,170010,/MagicBean:2.1.2/,847415,5,1590707373,1590707373.982
139.196.121.177,170010,/MagicBean:2.1.2/,847417,5,1590707540,1590707540.634
81.2.80.52,170010,/MagicBean:2.1.2/,847420,5,1590707901,1590707901.957
163.172.89.154,170009,/MagicBean:2.1.1-1/,847422,5,1590707995,1590707995.657
3.92.199.184,170009,/MagicBean:2.1.1-1(bitcore)/,847430,5,1590708465,1590708465.112
52.194.192.91,170010,/MagicBean:2.1.2-3/,847432,5,1590708759,1590708759.381
193.42.110.30,170011,/MagicBean:3.0.0/,847434,5,1590709034,1590709034.092
119.23.30.242,170010,/MagicBean:2.1.2/,847435,5,1590709153,1590709153.444
188.72.203.159,170009,/MagicBean:2.1.1-1/,847463,5,1590710767,1590710767.114
5.79.123.194,170010,/MagicBean:2.1.2-3/,847463,5,1590710967,1590710968.027
47.198.214.50,170011,/MagicBean:3.0.0/,847464,5,1590711147,1590711147.156
5.9.7.62,170009,/MagicBean:2.1.1-1/,847481,5,1590712138,1590712138.535
173.212.197.63,170009,/MagicBean:2.1.1-1/,847484,5,1590712367,1590712367.387
188.113.118.31,170011,/MagicBean:3.0.0/,847491,5,1590712691,1590712691.465
80.242.124.21,170010,/MagicBean:2.1.2-3/,847492,5,1590712784,1590712784.480
198.187.30.208,170009,/MagicBean:2.1.1-1/,847503,5,1590713506,1590713504.304
118.24.175.14,170009,/MagicBean:2.1.1-1/,847515,5,1590714579,1590714580.013
116.202.100.25,170010,/MagicBean:2.1.2(bitcore)/,847515,5,1590714725,1590714725.221
120.78.208.96,170010,/MagicBean:2.1.2/,847540,5,1590716243,1590716243.601
52.52.174.26,170010,/zqwMagicBean:2.1.2/,847540,5,1590716243,1590716243.997
18.222.216.71,170009,/MagicBean:2.1.1-1/,847545,5,1590716627,1590716627.426
159.69.65.217,170009,/MagicBean:2.1.1-1/,847557,5,1590717425,1590717425.127
172.105.73.103,170009,/MagicBean:2.1.1-1/,847558,5,1590717801,1590717801.185
192.99.230.93,170009,/MagicBean:2.1.1-1/,847559,5,1590718048,1590718048.737
95.216.227.171,170009,/MagicBean:2.1.1-1/,847564,5,1590718890,1590718890.855
213.227.145.69,170010,/MagicBean:2.1.2-3/,847584,5,1590719913,1590719913.802
108.51.198.189,170009,/MagicBean:2.1.1-1/,847606,5,1590721518,1590721518.551
35.246.238.163,170009,/MagicBean:2.1.1-1/,847612,5,1590721889,1590721889.757
64.137.174.58,170009,/MagicBean:2.1.1-1/,847646,5,1590724706,1590724710.138
136.37.43.66,170010,/MagicBean:2.1.2-3/,847655,5,1590724994,1590724994.937
82.196.7.218,170010,/MagicBean:2.1.2-3/,847675,5,1590726763,1590726763.618
104.195.200.141,170010,/MagicBean:2.1.2/,847683,5,1590727394,1590727394.586
35.198.119.137,170009,/MagicBean:2.1.1-1/,847688,5,1590727951,1590727951.879
51.68.5.144,170010,/zqwMagicBean:2.1.2/,847691,5,1590728203,1590728256.119
178.62.222.98,170009,/MagicBean:2.1.1-1/,847718,5,1590730335,1590730335.723
18.220.47.120,170009,/MagicBean:2.1.1-1/,847737,5,1590732346,1590732346.956
162.14.4.106,170009,/MagicBean:2.1.1-1/,847739,5,1590732490,1590732490.125
188.166.173.215,170009,/MagicBean:2.1.1-1(bitcore)/,847745,5,1590733000,1590733000.054
94.156.174.100,170009,/MagicBean:2.1.1-1/,847777,5,1590734975,1590734975.458
13.58.93.188,170009,/MagicBean:2.1.1-1/,847793,5,1590736332,1590736332.792
167.99.86.56,170009,/MagicBean:2.1.1-1/,847793,5,1590736393,1590736393.309
66.70.180.144,170009,/MagicBean:2.1.1-1/,847814,5,1590737486,1590737486.312
144.91.68.191,170009,/MagicBean:2.1.1-1/,847818,5,1590737751,1590737751.985
39.106.140.217,170010,/MagicBean:2.1.2/,847848,5,1590739781,1590739781.257
142.93.53.185,170010,/MagicBean:2.1.2-3/,848059,5,1590756218,1590756218.437
91.152.122.170,170010,/MagicBean:2.1.2-1/,848061,5,1590756558,1590756789.151
35.246.238.163,170011,/MagicBean:3.0.0/,848062,5,1590756906,1590756906.892
